,Servers,Values,Amount of customers
0,1 server(s),10655.297981037389,100000
1,1 server(s),10686.87415442791,100000
2,1 server(s),9281.665242899144,100000
3,1 server(s),10512.934761487637,100000
4,1 server(s),9826.740003941553,100000
5,1 server(s),9599.274329214131,100000
6,1 server(s),10535.536299472831,100000
7,1 server(s),10145.406636571674,100000
8,1 server(s),9771.52724728838,100000
9,1 server(s),9811.074036644262,100000
10,1 server(s),9971.63782508787,100000
11,1 server(s),10031.611595335296,100000
12,1 server(s),10418.050619433838,100000
13,1 server(s),11061.560792197508,100000
14,1 server(s),9153.73778346168,100000
15,1 server(s),9378.062586745547,100000
16,1 server(s),10568.754185381253,100000
17,1 server(s),10076.347222899503,100000
18,1 server(s),10382.837535130167,100000
19,1 server(s),10112.198309095169,100000
20,1 server(s),11932.671532468621,100000
21,1 server(s),9580.553222810415,100000
22,1 server(s),8001.769242170537,100000
23,1 server(s),10390.801853528688,100000
24,1 server(s),10290.173478245531,100000
25,1 server(s),8927.161971798532,100000
26,1 server(s),9903.128330847057,100000
27,1 server(s),9205.20321410953,100000
28,1 server(s),9679.93473923467,100000
29,1 server(s),11236.903887002154,100000
30,1 server(s),11092.04216975338,100000
31,1 server(s),9666.22032388058,100000
32,1 server(s),8768.852923254806,100000
33,1 server(s),10305.009474273093,100000
34,1 server(s),10658.952949342642,100000
35,1 server(s),9968.628765877047,100000
36,1 server(s),9683.173407887763,100000
37,1 server(s),9993.136726045133,100000
38,1 server(s),11326.93550945016,100000
39,1 server(s),9756.000307464958,100000
40,1 server(s),8913.495328873249,100000
41,1 server(s),9327.90239925243,100000
42,1 server(s),9526.499839424116,100000
43,1 server(s),10122.97330263645,100000
44,1 server(s),11056.558835939837,100000
45,1 server(s),9381.752573156407,100000
46,1 server(s),10499.983867545745,100000
47,1 server(s),10591.823133457185,100000
48,1 server(s),8985.342904507606,100000
49,1 server(s),9527.69816152235,100000
50,1 server(s),12522.789799297636,100000
51,1 server(s),10143.711855105681,100000
52,1 server(s),11025.256903330312,100000
53,1 server(s),10239.15665742177,100000
54,1 server(s),9803.89397086507,100000
55,1 server(s),10364.377551178008,100000
56,1 server(s),11036.39315108253,100000
57,1 server(s),10701.275219560155,100000
58,1 server(s),9601.340588741125,100000
59,1 server(s),11208.68192360455,100000
60,1 server(s),10978.97239282003,100000
61,1 server(s),10146.025693028727,100000
62,1 server(s),9626.283215766478,100000
63,1 server(s),9666.81954774126,100000
64,1 server(s),10130.258285982478,100000
65,1 server(s),10216.845736400855,100000
66,1 server(s),9437.714712417088,100000
67,1 server(s),10428.78005351678,100000
68,1 server(s),10185.1204653399,100000
69,1 server(s),10625.169006988857,100000
70,1 server(s),8878.77661700268,100000
71,1 server(s),10193.711718422333,100000
72,1 server(s),10801.128011520157,100000
73,1 server(s),8900.976247333607,100000
74,1 server(s),9511.890857428296,100000
75,1 server(s),9231.9901718922,100000
76,1 server(s),9239.132832732268,100000
77,1 server(s),10824.058010992658,100000
78,1 server(s),10791.036938070429,100000
79,1 server(s),9868.07795566151,100000
80,1 server(s),9712.883674867235,100000
81,1 server(s),8820.096954306548,100000
82,1 server(s),10602.924121742944,100000
83,1 server(s),10170.234154931231,100000
84,1 server(s),9793.267968868187,100000
85,1 server(s),9613.044593347717,100000
86,1 server(s),9982.695674536786,100000
87,1 server(s),10579.993813488114,100000
88,1 server(s),9118.968216437872,100000
89,1 server(s),10075.815795377997,100000
90,1 server(s),9206.17098093362,100000
91,1 server(s),9243.600832611624,100000
92,1 server(s),10548.944930858113,100000
93,1 server(s),10894.094243478394,100000
94,1 server(s),9029.386110180125,100000
95,1 server(s),10227.955468546339,100000
96,1 server(s),10380.177669356719,100000
97,1 server(s),8588.42552887376,100000
98,1 server(s),10389.993773802407,100000
99,1 server(s),9091.787756892967,100000
100,1 server(s),10170.031789273036,100000
101,1 server(s),8436.484522197909,100000
102,1 server(s),10109.5005494165,100000
103,1 server(s),9958.692453975378,100000
104,1 server(s),9966.47562407254,100000
105,1 server(s),10900.178647496392,100000
106,1 server(s),10636.2877762743,100000
107,1 server(s),10080.130221657364,100000
108,1 server(s),10322.437714475778,100000
109,1 server(s),9934.89535230163,100000
110,1 server(s),10171.90939976915,100000
111,1 server(s),9572.410609662062,100000
112,1 server(s),9341.732042488602,100000
113,1 server(s),9862.29353359989,100000
114,1 server(s),9285.160722357774,100000
115,1 server(s),10224.504068836277,100000
116,1 server(s),10600.966519701396,100000
117,1 server(s),9509.699825041236,100000
118,1 server(s),10574.387345849082,100000
119,1 server(s),11060.70312008047,100000
120,1 server(s),10770.85613706292,100000
121,1 server(s),9300.669312007938,100000
122,1 server(s),10037.48035664349,100000
123,1 server(s),10038.179065560491,100000
124,1 server(s),9909.08216000645,100000
125,1 server(s),10005.7297619603,100000
126,1 server(s),9281.11774954623,100000
127,1 server(s),9431.19821531216,100000
128,1 server(s),9498.51618457299,100000
129,1 server(s),9070.96341118229,100000
130,1 server(s),9635.552401166668,100000
131,1 server(s),9083.012556167228,100000
132,1 server(s),9435.297889122892,100000
133,1 server(s),10026.636415330659,100000
134,1 server(s),10142.757192919302,100000
135,1 server(s),10268.111561882964,100000
136,1 server(s),9588.781021672654,100000
137,1 server(s),9831.472026588131,100000
138,1 server(s),9289.948560327797,100000
139,1 server(s),11548.671490715125,100000
140,1 server(s),9700.821387347558,100000
141,1 server(s),10350.329150630405,100000
142,1 server(s),9715.750509623103,100000
143,1 server(s),10996.522494654086,100000
144,1 server(s),11215.620935485256,100000
145,1 server(s),9649.390119699561,100000
146,1 server(s),10106.545211685067,100000
147,1 server(s),10207.993825625892,100000
148,1 server(s),9914.52994934151,100000
149,1 server(s),10953.308956743807,100000
150,1 server(s),10219.98846024049,100000
151,1 server(s),9174.077386410381,100000
