,Servers,Values,Amount of Customers
0,1 server(s),40.37961068793827,100000
1,1 server(s),41.81256401303214,100000
2,1 server(s),37.67370598841998,100000
3,1 server(s),42.75827768539109,100000
4,1 server(s),39.77972102576538,100000
5,1 server(s),39.276787499573274,100000
6,1 server(s),41.34094284791136,100000
7,1 server(s),38.983169690052655,100000
8,1 server(s),38.684626684015335,100000
9,1 server(s),42.61018604808221,100000
10,1 server(s),40.282910933292314,100000
11,1 server(s),39.99194006159703,100000
12,1 server(s),42.69145472201782,100000
13,1 server(s),37.51557191581413,100000
14,1 server(s),38.592708081508675,100000
15,1 server(s),40.499750596206894,100000
16,1 server(s),45.97631933324218,100000
17,1 server(s),41.92772886178442,100000
18,1 server(s),39.536455373893446,100000
19,1 server(s),40.43393204370086,100000
20,1 server(s),38.69954935670477,100000
21,1 server(s),37.75522428107453,100000
22,1 server(s),41.39246138963911,100000
23,1 server(s),42.78488088180444,100000
24,1 server(s),41.035440240583306,100000
25,1 server(s),41.04183147651018,100000
26,1 server(s),40.06655047159988,100000
27,1 server(s),38.373663962393344,100000
28,1 server(s),38.877502817439094,100000
29,1 server(s),40.44865093878526,100000
30,1 server(s),37.39517515175159,100000
31,1 server(s),40.731905028346794,100000
32,1 server(s),39.47187861454469,100000
33,1 server(s),43.173999651774714,100000
34,1 server(s),39.97286109695722,100000
35,1 server(s),41.039277626020585,100000
36,1 server(s),40.95652728148487,100000
37,1 server(s),39.3857969423408,100000
38,1 server(s),37.7687181942746,100000
39,1 server(s),40.09669411165458,100000
40,1 server(s),37.66063030583095,100000
41,1 server(s),43.773797863724994,100000
42,1 server(s),41.913033308518585,100000
43,1 server(s),40.59524581656909,100000
44,1 server(s),40.969870878118456,100000
45,1 server(s),38.9048795168444,100000
46,1 server(s),39.37390896419988,100000
47,1 server(s),41.357830045059806,100000
48,1 server(s),39.10726605841504,100000
49,1 server(s),43.433538502256305,100000
50,1 server(s),40.39555671882793,100000
51,1 server(s),39.0952492898354,100000
52,1 server(s),37.15424551612538,100000
53,1 server(s),38.131072817809944,100000
54,1 server(s),35.41856995805548,100000
55,1 server(s),40.94125140513234,100000
56,1 server(s),38.49416396333484,100000
57,1 server(s),38.5014352273541,100000
58,1 server(s),38.82739491017166,100000
59,1 server(s),40.83130201313926,100000
60,1 server(s),40.07976308043071,100000
61,1 server(s),40.40126567624255,100000
62,1 server(s),37.565616289547506,100000
63,1 server(s),41.29434751649507,100000
64,1 server(s),43.70105339313347,100000
