,Rho,Values,Amount of customers
0, Value: 0.1,0.1,25000
1, Value: 0.1,0.12,25000
2, Value: 0.1,0.11,25000
3, Value: 0.1,0.11,25000
4, Value: 0.1,0.11,25000
5, Value: 0.1,0.11,25000
6, Value: 0.1,0.11,25000
7, Value: 0.1,0.12,25000
8, Value: 0.1,0.11,25000
9, Value: 0.1,0.11,25000
10, Value: 0.1,0.11,25000
11, Value: 0.1,0.11,25000
12, Value: 0.1,0.11,25000
13, Value: 0.1,0.11,25000
14, Value: 0.1,0.11,25000
15, Value: 0.1,0.11,25000
16, Value: 0.1,0.11,25000
17, Value: 0.1,0.11,25000
18, Value: 0.1,0.11,25000
19, Value: 0.1,0.11,25000
20, Value: 0.1,0.11,25000
21, Value: 0.1,0.11,25000
22, Value: 0.1,0.11,25000
23, Value: 0.1,0.11,25000
24, Value: 0.1,0.11,25000
25, Value: 0.1,0.11,25000
26, Value: 0.1,0.11,25000
27, Value: 0.1,0.11,25000
28, Value: 0.1,0.11,25000
29, Value: 0.1,0.11,25000
30, Value: 0.1,0.11,25000
31, Value: 0.1,0.12,25000
32, Value: 0.1,0.11,25000
33, Value: 0.1,0.11,25000
34, Value: 0.1,0.11,25000
35, Value: 0.1,0.11,25000
36, Value: 0.1,0.12,25000
37, Value: 0.1,0.11,25000
38, Value: 0.1,0.1,25000
39, Value: 0.1,0.11,25000
40, Value: 0.1,0.12,25000
41, Value: 0.1,0.11,25000
42, Value: 0.1,0.12,25000
43, Value: 0.1,0.11,25000
44, Value: 0.1,0.11,25000
45, Value: 0.1,0.11,25000
46, Value: 0.1,0.11,25000
47, Value: 0.1,0.11,25000
48, Value: 0.1,0.11,25000
49, Value: 0.1,0.11,25000
50, Value: 0.1,0.11,25000
51, Value: 0.1,0.11,25000
52, Value: 0.1,0.11,25000
53, Value: 0.1,0.11,25000
54, Value: 0.1,0.11,25000
55, Value: 0.1,0.11,25000
56, Value: 0.1,0.11,25000
57, Value: 0.1,0.11,25000
58, Value: 0.1,0.11,25000
59, Value: 0.1,0.11,25000
60, Value: 0.1,0.11,25000
61, Value: 0.1,0.11,25000
62, Value: 0.1,0.11,25000
63, Value: 0.1,0.11,25000
64, Value: 0.1,0.11,25000
65, Value: 0.1,0.12,25000
66, Value: 0.1,0.11,25000
67, Value: 0.1,0.11,25000
68, Value: 0.1,0.11,25000
69, Value: 0.1,0.12,25000
70, Value: 0.1,0.11,25000
71, Value: 0.1,0.11,25000
72, Value: 0.1,0.11,25000
73, Value: 0.1,0.11,25000
74, Value: 0.1,0.11,25000
75, Value: 0.1,0.11,25000
76, Value: 0.1,0.12,25000
77, Value: 0.1,0.12,25000
78, Value: 0.1,0.11,25000
79, Value: 0.1,0.11,25000
80, Value: 0.1,0.11,25000
81, Value: 0.1,0.12,25000
82, Value: 0.1,0.11,25000
83, Value: 0.1,0.11,25000
84, Value: 0.1,0.11,25000
85, Value: 0.1,0.12,25000
86, Value: 0.1,0.11,25000
87, Value: 0.1,0.11,25000
88, Value: 0.1,0.11,25000
89, Value: 0.1,0.11,25000
90, Value: 0.1,0.11,25000
91, Value: 0.1,0.11,25000
92, Value: 0.1,0.11,25000
93, Value: 0.1,0.1,25000
94, Value: 0.1,0.12,25000
95, Value: 0.1,0.12,25000
96, Value: 0.1,0.12,25000
97, Value: 0.1,0.12,25000
98, Value: 0.1,0.11,25000
99, Value: 0.1,0.11,25000
100, Value: 0.1,0.11,25000
101, Value: 0.1,0.11,25000
102, Value: 0.1,0.11,25000
103, Value: 0.1,0.11,25000
104, Value: 0.1,0.11,25000
105, Value: 0.1,0.12,25000
106, Value: 0.1,0.11,25000
107, Value: 0.1,0.11,25000
108, Value: 0.1,0.12,25000
109, Value: 0.1,0.12,25000
110, Value: 0.1,0.1,25000
111, Value: 0.1,0.11,25000
112, Value: 0.1,0.12,25000
113, Value: 0.1,0.11,25000
114, Value: 0.1,0.11,25000
115, Value: 0.1,0.11,25000
116, Value: 0.1,0.11,25000
117, Value: 0.1,0.1,25000
118, Value: 0.1,0.11,25000
119, Value: 0.1,0.11,25000
120, Value: 0.1,0.11,25000
121, Value: 0.1,0.11,25000
122, Value: 0.1,0.11,25000
123, Value: 0.1,0.12,25000
124, Value: 0.1,0.11,25000
125, Value: 0.1,0.12,25000
126, Value: 0.1,0.11,25000
127, Value: 0.1,0.11,25000
128, Value: 0.1,0.12,25000
129, Value: 0.1,0.11,25000
130, Value: 0.1,0.11,25000
131, Value: 0.1,0.11,25000
132, Value: 0.1,0.12,25000
133, Value: 0.1,0.11,25000
134, Value: 0.1,0.11,25000
135, Value: 0.1,0.11,25000
136, Value: 0.1,0.11,25000
137, Value: 0.1,0.11,25000
138, Value: 0.1,0.11,25000
139, Value: 0.1,0.11,25000
140, Value: 0.1,0.11,25000
141, Value: 0.1,0.11,25000
142, Value: 0.1,0.11,25000
143, Value: 0.1,0.1,25000
144, Value: 0.1,0.11,25000
145, Value: 0.1,0.11,25000
146, Value: 0.1,0.12,25000
147, Value: 0.1,0.11,25000
148, Value: 0.1,0.12,25000
149, Value: 0.1,0.11,25000
150, Value: 0.1,0.11,25000
151, Value: 0.1,0.11,25000
152, Value: 0.1,0.11,25000
153, Value: 0.1,0.11,25000
154, Value: 0.1,0.11,25000
155, Value: 0.1,0.11,25000
156, Value: 0.1,0.12,25000
157, Value: 0.1,0.11,25000
158, Value: 0.1,0.11,25000
159, Value: 0.1,0.11,25000
160, Value: 0.1,0.11,25000
161, Value: 0.1,0.12,25000
162, Value: 0.1,0.11,25000
163, Value: 0.1,0.11,25000
164, Value: 0.1,0.1,25000
165, Value: 0.1,0.11,25000
166, Value: 0.1,0.11,25000
167, Value: 0.1,0.11,25000
168, Value: 0.1,0.11,25000
169, Value: 0.1,0.11,25000
170, Value: 0.1,0.11,25000
171, Value: 0.1,0.11,25000
172, Value: 0.1,0.11,25000
173, Value: 0.1,0.11,25000
174, Value: 0.1,0.11,25000
175, Value: 0.1,0.11,25000
176, Value: 0.1,0.11,25000
177, Value: 0.1,0.11,25000
178, Value: 0.1,0.11,25000
179, Value: 0.1,0.11,25000
180, Value: 0.1,0.12,25000
181, Value: 0.1,0.12,25000
182, Value: 0.1,0.11,25000
183, Value: 0.1,0.11,25000
184, Value: 0.1,0.11,25000
185, Value: 0.1,0.1,25000
186, Value: 0.1,0.11,25000
187, Value: 0.1,0.11,25000
188, Value: 0.1,0.11,25000
189, Value: 0.1,0.11,25000
190, Value: 0.1,0.11,25000
191, Value: 0.1,0.11,25000
192, Value: 0.1,0.1,25000
193, Value: 0.1,0.11,25000
194, Value: 0.1,0.11,25000
195, Value: 0.1,0.11,25000
196, Value: 0.1,0.11,25000
197, Value: 0.1,0.11,25000
198, Value: 0.1,0.11,25000
199, Value: 0.1,0.11,25000
200, Value: 0.1,0.11,25000
201, Value: 0.1,0.11,25000
202, Value: 0.1,0.1,25000
203, Value: 0.1,0.11,25000
204, Value: 0.1,0.11,25000
205, Value: 0.1,0.12,25000
206, Value: 0.1,0.11,25000
207, Value: 0.1,0.11,25000
208, Value: 0.1,0.11,25000
209, Value: 0.1,0.11,25000
210, Value: 0.1,0.1,25000
211, Value: 0.1,0.11,25000
212, Value: 0.1,0.11,25000
213, Value: 0.1,0.11,25000
214, Value: 0.1,0.11,25000
215, Value: 0.1,0.11,25000
216, Value: 0.1,0.11,25000
217, Value: 0.1,0.11,25000
218, Value: 0.1,0.11,25000
219, Value: 0.1,0.11,25000
220, Value: 0.1,0.11,25000
221, Value: 0.1,0.11,25000
222, Value: 0.1,0.11,25000
223, Value: 0.1,0.11,25000
224, Value: 0.1,0.11,25000
225, Value: 0.1,0.11,25000
226, Value: 0.1,0.1,25000
227, Value: 0.1,0.11,25000
228, Value: 0.1,0.12,25000
229, Value: 0.1,0.11,25000
230, Value: 0.1,0.11,25000
231, Value: 0.1,0.11,25000
232, Value: 0.1,0.11,25000
233, Value: 0.1,0.11,25000
234, Value: 0.1,0.11,25000
235, Value: 0.1,0.11,25000
236, Value: 0.1,0.11,25000
237, Value: 0.1,0.11,25000
238, Value: 0.1,0.11,25000
239, Value: 0.1,0.12,25000
240, Value: 0.1,0.11,25000
241, Value: 0.1,0.12,25000
242, Value: 0.1,0.11,25000
243, Value: 0.1,0.11,25000
244, Value: 0.1,0.11,25000
245, Value: 0.1,0.12,25000
246, Value: 0.1,0.12,25000
247, Value: 0.1,0.11,25000
248, Value: 0.1,0.11,25000
249, Value: 0.1,0.12,25000
250, Value: 0.1,0.11,25000
251, Value: 0.1,0.11,25000
252, Value: 0.1,0.11,25000
253, Value: 0.1,0.12,25000
254, Value: 0.1,0.11,25000
255, Value: 0.1,0.11,25000
256, Value: 0.1,0.11,25000
257, Value: 0.1,0.11,25000
258, Value: 0.1,0.11,25000
259, Value: 0.1,0.11,25000
260, Value: 0.1,0.11,25000
261, Value: 0.1,0.11,25000
262, Value: 0.1,0.1,25000
263, Value: 0.1,0.11,25000
264, Value: 0.1,0.11,25000
265, Value: 0.1,0.11,25000
266, Value: 0.1,0.11,25000
267, Value: 0.1,0.11,25000
268, Value: 0.1,0.11,25000
269, Value: 0.1,0.11,25000
270, Value: 0.1,0.11,25000
271, Value: 0.1,0.11,25000
272, Value: 0.1,0.11,25000
273, Value: 0.1,0.12,25000
274, Value: 0.1,0.11,25000
275, Value: 0.1,0.11,25000
276, Value: 0.1,0.11,25000
