,Rho,Values,Amount of Customers
0, Value: 0.1,0.1149501063765593,25000
1, Value: 0.1,0.10866911396109079,25000
2, Value: 0.1,0.11325445358656346,25000
3, Value: 0.1,0.10750338917383437,25000
4, Value: 0.1,0.11019494834562221,25000
5, Value: 0.1,0.11202201552347997,25000
6, Value: 0.1,0.10888834418465031,25000
7, Value: 0.1,0.11153020417497192,25000
8, Value: 0.1,0.11088675161084062,25000
9, Value: 0.1,0.1102023539593256,25000
10, Value: 0.1,0.11203577277163639,25000
11, Value: 0.1,0.10954269260329441,25000
12, Value: 0.1,0.11127512546579178,25000
13, Value: 0.1,0.11451558928401859,25000
14, Value: 0.1,0.1078616773947697,25000
15, Value: 0.1,0.10842387435076445,25000
16, Value: 0.1,0.10862695301631946,25000
17, Value: 0.1,0.11914629121325437,25000
18, Value: 0.1,0.11051487031203913,25000
19, Value: 0.1,0.10660688598622399,25000
20, Value: 0.1,0.1118985738216831,25000
21, Value: 0.1,0.11241171799226383,25000
22, Value: 0.1,0.10697678870804539,25000
23, Value: 0.1,0.11697296880121888,25000
24, Value: 0.1,0.11229892521435254,25000
25, Value: 0.1,0.11165617520014777,25000
26, Value: 0.1,0.113126310749343,25000
27, Value: 0.1,0.10666692239287273,25000
28, Value: 0.1,0.10591736611621473,25000
29, Value: 0.1,0.10973998376409817,25000
30, Value: 0.1,0.11393300828069708,25000
31, Value: 0.1,0.1102753007630544,25000
32, Value: 0.1,0.11271169040611236,25000
33, Value: 0.1,0.11306751610729875,25000
34, Value: 0.1,0.11522652194483779,25000
35, Value: 0.1,0.11304062017031538,25000
36, Value: 0.1,0.10865696833353751,25000
37, Value: 0.1,0.10856970978941118,25000
38, Value: 0.1,0.11200934581487207,25000
39, Value: 0.1,0.10341445243146123,25000
40, Value: 0.1,0.11170140396124818,25000
41, Value: 0.1,0.11813701186192775,25000
42, Value: 0.1,0.11632613359755258,25000
43, Value: 0.1,0.11252620045991338,25000
44, Value: 0.1,0.10945167519293464,25000
45, Value: 0.1,0.1127488208622065,25000
46, Value: 0.1,0.11142812458663542,25000
47, Value: 0.1,0.11644455170853918,25000
48, Value: 0.1,0.11218322152864786,25000
49, Value: 0.1,0.1066524800550785,25000
50, Value: 0.1,0.10821741686287878,25000
51, Value: 0.1,0.10692307783603747,25000
52, Value: 0.1,0.11369426187163037,25000
53, Value: 0.1,0.10976628655468881,25000
54, Value: 0.1,0.11429965894845714,25000
55, Value: 0.1,0.11574214324137541,25000
56, Value: 0.1,0.11112261328424307,25000
57, Value: 0.1,0.10373820442971086,25000
58, Value: 0.1,0.1071143085832587,25000
59, Value: 0.1,0.10617861463430539,25000
60, Value: 0.1,0.10863880758891534,25000
61, Value: 0.1,0.10091848456758275,25000
62, Value: 0.1,0.11354157673563581,25000
63, Value: 0.1,0.1049828354437841,25000
64, Value: 0.1,0.11100302727837583,25000
65, Value: 0.1,0.11137961188417411,25000
66, Value: 0.1,0.11349950230803288,25000
67, Value: 0.1,0.11733216708240188,25000
68, Value: 0.1,0.11066131207213033,25000
69, Value: 0.1,0.10870180692534334,25000
70, Value: 0.1,0.11074214394593188,25000
71, Value: 0.1,0.11238100360621313,25000
72, Value: 0.1,0.10541512209079945,25000
73, Value: 0.1,0.11117231349533518,25000
74, Value: 0.1,0.11180904786705224,25000
75, Value: 0.1,0.10944309351213405,25000
76, Value: 0.1,0.11102927342872773,25000
77, Value: 0.1,0.11176046526656984,25000
78, Value: 0.1,0.10983246371421193,25000
79, Value: 0.1,0.10896132055927142,25000
80, Value: 0.1,0.11561197690331877,25000
81, Value: 0.1,0.10766685485726854,25000
82, Value: 0.1,0.11278056147623552,25000
83, Value: 0.1,0.1174002097151562,25000
84, Value: 0.1,0.10984958337969546,25000
85, Value: 0.1,0.11182587352094418,25000
86, Value: 0.1,0.10662376316957721,25000
87, Value: 0.1,0.11042780029563855,25000
88, Value: 0.1,0.11368003159165917,25000
89, Value: 0.1,0.11209887932219197,25000
90, Value: 0.1,0.10693069457851241,25000
91, Value: 0.1,0.11395715222282005,25000
92, Value: 0.1,0.10908846977993125,25000
93, Value: 0.1,0.10970523890403361,25000
94, Value: 0.1,0.11182806472255455,25000
95, Value: 0.1,0.1153482346844993,25000
96, Value: 0.1,0.11328445094287554,25000
97, Value: 0.1,0.10804073961523387,25000
98, Value: 0.1,0.11433446787816942,25000
99, Value: 0.1,0.11205690613931384,25000
100, Value: 0.1,0.1103866056192244,25000
101, Value: 0.1,0.11284117622246267,25000
102, Value: 0.1,0.10812373858535076,25000
103, Value: 0.1,0.11110922972494387,25000
104, Value: 0.1,0.11061234500671985,25000
105, Value: 0.1,0.11144544294975112,25000
106, Value: 0.1,0.11394945770790586,25000
107, Value: 0.1,0.10718000820897138,25000
108, Value: 0.1,0.11018626861914219,25000
109, Value: 0.1,0.11288583688060502,25000
110, Value: 0.1,0.10962116109958119,25000
111, Value: 0.1,0.11548662171948185,25000
112, Value: 0.1,0.11061997556434966,25000
113, Value: 0.1,0.11507419329198783,25000
114, Value: 0.1,0.11770564536542337,25000
115, Value: 0.1,0.11333361586206096,25000
116, Value: 0.1,0.11507992268208461,25000
117, Value: 0.1,0.11451991012904963,25000
118, Value: 0.1,0.11332475548135983,25000
119, Value: 0.1,0.11785192622123293,25000
120, Value: 0.1,0.11705373405293103,25000
121, Value: 0.1,0.11601295415356047,25000
122, Value: 0.1,0.11060342288502266,25000
123, Value: 0.1,0.10631766897362359,25000
124, Value: 0.1,0.11534494883186759,25000
125, Value: 0.1,0.11157350690020577,25000
126, Value: 0.1,0.10831594703631778,25000
127, Value: 0.1,0.10253561266997052,25000
128, Value: 0.1,0.11047349867293262,25000
129, Value: 0.1,0.11765976698252924,25000
130, Value: 0.1,0.11323252281913798,25000
131, Value: 0.1,0.11267948874579638,25000
132, Value: 0.1,0.10895719441848518,25000
133, Value: 0.1,0.11175056653286361,25000
134, Value: 0.1,0.10599253316790883,25000
135, Value: 0.1,0.11553501954790692,25000
136, Value: 0.1,0.10225539910449148,25000
137, Value: 0.1,0.11295175489427074,25000
138, Value: 0.1,0.11171097787352371,25000
139, Value: 0.1,0.10673282473836149,25000
140, Value: 0.1,0.11402406886138793,25000
141, Value: 0.1,0.11433586720765401,25000
142, Value: 0.1,0.10995478815444375,25000
143, Value: 0.1,0.11042455517598194,25000
144, Value: 0.1,0.11213998672153921,25000
145, Value: 0.1,0.11211323605242504,25000
146, Value: 0.1,0.11401915616775012,25000
147, Value: 0.1,0.10892019417626057,25000
148, Value: 0.1,0.1102815766513416,25000
149, Value: 0.1,0.11122049113912917,25000
150, Value: 0.1,0.10614421022347248,25000
