,Servers,Values,Amount of customers
0,SJF,26.529835574229807,100000
1,SJF,27.992248875278655,100000
2,SJF,30.93977569724536,100000
3,SJF,28.21561220264015,100000
4,SJF,30.367415131550572,100000
5,SJF,27.80709917633208,100000
6,SJF,29.119493252872072,100000
7,SJF,29.577536202330485,100000
8,SJF,27.80326408277116,100000
9,SJF,29.64444266961014,100000
10,SJF,27.360078313767445,100000
11,SJF,30.246477386707245,100000
12,SJF,32.42279388367628,100000
13,SJF,28.80918760631754,100000
14,SJF,28.440679040271668,100000
15,SJF,28.188884024666557,100000
16,SJF,27.989746913606368,100000
17,SJF,28.01551480112828,100000
18,SJF,26.36874244682733,100000
19,SJF,28.740396070752936,100000
20,SJF,29.659964720097037,100000
21,SJF,28.413523781759217,100000
22,SJF,27.804657053409304,100000
23,SJF,28.174066005066788,100000
24,SJF,29.325067419791285,100000
25,SJF,28.727567769720835,100000
26,SJF,27.828591863472294,100000
27,SJF,29.751915303198416,100000
28,SJF,28.700583735277583,100000
29,SJF,27.789441436517436,100000
30,SJF,29.04038734453797,100000
31,SJF,29.214584949542495,100000
32,SJF,29.2661041737332,100000
33,SJF,27.661122691319882,100000
34,SJF,27.925595115972193,100000
35,SJF,29.608124227087874,100000
36,SJF,29.745717256018185,100000
37,SJF,26.882061841051748,100000
38,SJF,27.560685121592208,100000
39,SJF,26.31379382241067,100000
40,SJF,28.06466778506551,100000
41,SJF,27.519225722922076,100000
42,SJF,28.95021316473506,100000
43,SJF,28.740480280852875,100000
44,SJF,27.187748938293588,100000
45,SJF,30.39483158664962,100000
46,SJF,29.186485400269916,100000
47,SJF,27.03152606707524,100000
48,SJF,28.69562363493992,100000
49,SJF,30.6585581738994,100000
50,SJF,28.342637418225518,100000
51,SJF,30.629534462862363,100000
52,SJF,29.67276982627551,100000
53,SJF,28.352083721945192,100000
54,SJF,28.267436603201702,100000
55,SJF,28.408427347227448,100000
56,SJF,28.58977849165417,100000
57,SJF,27.659740876683102,100000
58,SJF,28.16323672602077,100000
59,SJF,27.468594972087526,100000
60,SJF,28.514077041656392,100000
61,SJF,26.75732857581242,100000
62,SJF,30.435948908266127,100000
63,SJF,28.34348485664351,100000
64,SJF,26.93107789862246,100000
65,SJF,29.39225992970746,100000
66,SJF,27.919153988289,100000
67,SJF,27.262120274346117,100000
68,SJF,30.93379493455383,100000
69,SJF,28.346756130898093,100000
70,SJF,30.03170278736038,100000
71,SJF,30.83575168471532,100000
72,SJF,28.248587606507417,100000
73,SJF,26.802666311581955,100000
74,SJF,28.47590425419789,100000
75,SJF,27.597969030967512,100000
76,SJF,27.89986096373474,100000
77,SJF,31.592804663123925,100000
78,SJF,28.83977959670479,100000
79,SJF,28.870553488545525,100000
80,SJF,30.632389485976343,100000
81,SJF,27.801332595540853,100000
82,SJF,27.580139609065192,100000
83,SJF,27.946309967396612,100000
84,SJF,28.06319490056954,100000
85,SJF,28.209967501632335,100000
86,SJF,29.721796411627363,100000
87,SJF,29.826890049451364,100000
88,SJF,30.73229175760804,100000
89,SJF,27.503289304113203,100000
90,SJF,29.766271750454024,100000
91,SJF,29.433167838351935,100000
92,SJF,27.766810046410896,100000
93,SJF,31.024078239117745,100000
94,SJF,28.91691486995035,100000
95,SJF,26.809700141941086,100000
96,SJF,26.844663201658243,100000
97,SJF,28.685932594945253,100000
98,SJF,27.4141528717631,100000
99,SJF,27.453557831877372,100000
100,SJF,26.86747505197977,100000
101,SJF,28.620204347896742,100000
102,SJF,29.67190555653357,100000
103,SJF,29.823462979785884,100000
104,SJF,30.10655309670567,100000
105,SJF,27.94679720659823,100000
106,SJF,27.80892540857261,100000
107,SJF,27.58288294298904,100000
108,SJF,28.880232485934062,100000
109,SJF,27.608342718697834,100000
110,SJF,28.046381676238553,100000
111,SJF,30.099564530107685,100000
112,SJF,27.215288863060252,100000
113,SJF,28.690293223158044,100000
114,SJF,29.69749846405969,100000
115,SJF,29.886691299472265,100000
116,SJF,30.290346592788453,100000
117,SJF,31.855713195488978,100000
118,SJF,29.585782121333317,100000
119,SJF,29.100346403055916,100000
120,SJF,28.611573309135096,100000
121,SJF,28.252233197314297,100000
122,SJF,28.069539153474278,100000
123,SJF,28.11380785878669,100000
124,SJF,27.754406272477546,100000
125,SJF,29.692991924355812,100000
126,SJF,30.66910982874915,100000
127,SJF,27.61856399349177,100000
128,SJF,29.207314384601858,100000
129,SJF,28.602466905634444,100000
130,SJF,28.357238883036977,100000
131,SJF,30.26383734683575,100000
132,SJF,28.15274498955321,100000
133,SJF,28.40332911515442,100000
134,SJF,30.074202784541555,100000
135,SJF,26.59409001254975,100000
136,SJF,28.466342392954715,100000
137,SJF,28.758712773481268,100000
138,SJF,30.410552125697954,100000
139,SJF,27.09781791288571,100000
140,SJF,27.392846717604403,100000
141,SJF,28.410698251312393,100000
142,SJF,27.545191767684678,100000
143,SJF,29.295977239054196,100000
144,SJF,27.67078761292944,100000
145,SJF,26.844061723736022,100000
146,SJF,29.509853592481857,100000
147,SJF,27.89144469088407,100000
148,SJF,28.355079800110367,100000
149,SJF,27.737464118077472,100000
150,SJF,29.970101485770396,100000
151,SJF,27.287589410266637,100000
152,SJF,29.701481615174934,100000
153,SJF,30.383114140057558,100000
154,SJF,29.436529831438047,100000
155,SJF,27.89605831283493,100000
156,SJF,30.138855006267203,100000
157,SJF,30.08701968394786,100000
158,SJF,29.906793922168813,100000
159,SJF,28.883031925811306,100000
160,SJF,28.57336541436575,100000
161,SJF,26.853889416065034,100000
162,SJF,28.405131389934354,100000
163,SJF,28.113736240261986,100000
164,SJF,30.65643970600187,100000
165,SJF,28.42830441565565,100000
166,SJF,29.609891597359915,100000
167,SJF,28.60594150203117,100000
168,SJF,30.467991736418483,100000
169,SJF,29.001493469137984,100000
170,SJF,28.299898677634793,100000
171,SJF,28.608627292181193,100000
172,SJF,28.432469632236714,100000
173,SJF,28.77290452138527,100000
174,SJF,28.237981993149734,100000
175,SJF,28.671833226620443,100000
176,SJF,30.048088435049007,100000
177,SJF,28.483513408709694,100000
178,SJF,28.53288288002741,100000
179,SJF,27.25209106834555,100000
180,SJF,30.27512928293652,100000
181,SJF,28.08154546306933,100000
182,SJF,28.380892712549166,100000
183,SJF,29.88877945144861,100000
184,SJF,29.09940245981984,100000
185,SJF,29.30280058244303,100000
186,SJF,30.17430417285901,100000
187,SJF,30.42056908683641,100000
188,SJF,30.577070309700478,100000
189,SJF,29.07062408592239,100000
190,SJF,29.486982134692212,100000
191,SJF,28.677968359362005,100000
192,SJF,27.81414156123845,100000
193,SJF,29.082210705036363,100000
194,SJF,26.427181045159283,100000
195,SJF,28.277593516904563,100000
196,SJF,28.04139928466869,100000
197,SJF,28.359663455153544,100000
198,SJF,28.339840262965808,100000
199,SJF,28.88876348870347,100000
200,SJF,28.52936349338082,100000
201,SJF,28.679271696221324,100000
202,SJF,29.36732528818815,100000
203,SJF,29.14741734477682,100000
204,SJF,27.67535496332124,100000
205,SJF,29.0124319220193,100000
206,SJF,26.78462973549069,100000
207,SJF,28.656862465828063,100000
208,SJF,28.843553396808588,100000
209,SJF,27.033111115983644,100000
210,SJF,28.68315101959204,100000
211,SJF,27.52838658015039,100000
212,SJF,29.23520360809396,100000
213,SJF,30.136708848438023,100000
214,SJF,27.528513941523297,100000
215,SJF,28.996089704138654,100000
216,SJF,28.070468774016998,100000
217,SJF,28.71046119459652,100000
218,SJF,28.30545371125306,100000
219,SJF,28.712194359452393,100000
220,SJF,30.648403094612792,100000
221,SJF,29.269644759359217,100000
222,SJF,28.356507530665972,100000
223,SJF,27.821102514799772,100000
224,SJF,28.233401981427026,100000
225,SJF,27.903435856067205,100000
226,SJF,30.17227408857425,100000
227,SJF,27.157266101183918,100000
228,SJF,29.029245421511956,100000
229,SJF,30.240807968251485,100000
230,SJF,29.421820548422705,100000
231,SJF,29.555253677626695,100000
232,SJF,30.10133621001303,100000
233,SJF,27.453166602223703,100000
234,SJF,30.683274685884133,100000
235,SJF,31.454509410769525,100000
236,SJF,30.043392709869227,100000
237,SJF,29.806211823741123,100000
238,SJF,27.54908088253272,100000
239,SJF,28.50873373483042,100000
240,SJF,28.12844171707362,100000
241,SJF,27.50517109412,100000
242,SJF,31.129353232404217,100000
243,SJF,27.163987793609724,100000
244,SJF,30.0219054906344,100000
245,SJF,30.471224541582433,100000
246,SJF,27.070850594353555,100000
247,SJF,29.08037224728916,100000
248,SJF,30.788351290234093,100000
249,SJF,31.07561628360173,100000
250,SJF,29.83719881222751,100000
251,SJF,28.186567173274145,100000
252,SJF,27.18630565534918,100000
253,SJF,28.30162176747143,100000
254,SJF,28.24441561661072,100000
255,SJF,29.17370947687047,100000
256,SJF,28.254406330556403,100000
257,SJF,25.759215855684662,100000
258,SJF,29.008451340198896,100000
259,SJF,31.012351690640433,100000
260,SJF,31.618368934056118,100000
261,SJF,28.64330961976775,100000
262,SJF,28.232494341386975,100000
263,SJF,29.682210742125953,100000
264,SJF,28.745636319673416,100000
265,SJF,30.25643501039952,100000
266,SJF,29.044027537551543,100000
267,SJF,28.586384073652187,100000
268,SJF,27.39348109059696,100000
269,SJF,28.334581790770834,100000
270,SJF,30.5450099799396,100000
271,SJF,27.718013500508796,100000
272,SJF,28.894803725118962,100000
273,SJF,27.65537561700138,100000
274,SJF,30.259014930161165,100000
275,SJF,29.929847541242818,100000
276,SJF,30.424914761721226,100000
277,SJF,27.545983143108543,100000
278,SJF,26.74080811750192,100000
279,SJF,27.765581216588043,100000
280,SJF,28.35989724765107,100000
281,SJF,28.011731261677145,100000
282,SJF,28.348241172079128,100000
283,SJF,28.60267756317037,100000
284,SJF,28.082243193800867,100000
285,SJF,31.228846580275608,100000
286,SJF,29.362100526100743,100000
287,SJF,27.317274965820502,100000
288,SJF,29.212563183621064,100000
289,SJF,28.955768036863905,100000
290,SJF,27.476514970889152,100000
291,SJF,29.87770153562533,100000
292,SJF,29.28511431045813,100000
293,SJF,28.81147150922539,100000
294,SJF,28.40283892535451,100000
295,SJF,29.93597017593981,100000
296,SJF,29.91692547911613,100000
297,SJF,27.572487792855952,100000
298,SJF,28.481416457602048,100000
299,SJF,29.534667967505058,100000
300,SJF,30.944865578766443,100000
301,SJF,26.860535378078353,100000
302,SJF,28.560890148864676,100000
303,SJF,28.757499937082493,100000
304,SJF,28.62573367629062,100000
305,SJF,28.095839085352235,100000
306,SJF,29.965376576804328,100000
307,SJF,27.710082763413425,100000
308,SJF,27.736130449028416,100000
309,SJF,29.43431432916174,100000
310,SJF,27.250209399346545,100000
311,SJF,30.81984297662516,100000
312,SJF,26.518600565385487,100000
313,SJF,28.23855037074292,100000
314,SJF,28.25275868114547,100000
315,SJF,30.03769888898437,100000
316,SJF,28.441948569940788,100000
317,SJF,29.815629052924574,100000
318,SJF,29.6214176930655,100000
319,SJF,27.963517750530166,100000
320,SJF,30.238360642654115,100000
321,SJF,30.21035522050093,100000
322,SJF,28.298885941777606,100000
323,SJF,27.799509066570206,100000
324,SJF,29.34896762617156,100000
325,SJF,29.070569863089915,100000
326,SJF,27.382260294902984,100000
327,SJF,28.105595064009353,100000
328,SJF,27.998617162382946,100000
329,SJF,28.4097594545368,100000
330,SJF,28.861655642151618,100000
331,SJF,30.45355951890905,100000
332,SJF,28.63657897161983,100000
333,SJF,28.89641293346626,100000
334,SJF,28.05236992661346,100000
335,SJF,27.81689426704621,100000
336,SJF,27.747178543005116,100000
