,Servers,Values,Amount of customers
0,1 server(s),137.58363981950347,100000
1,1 server(s),129.71128840676892,100000
2,1 server(s),145.53541053535102,100000
3,1 server(s),121.69717980528142,100000
4,1 server(s),136.79237751423514,100000
5,1 server(s),133.43651884652425,100000
6,1 server(s),138.2178374279096,100000
7,1 server(s),135.95710762053506,100000
8,1 server(s),149.0441538417488,100000
9,1 server(s),153.82105193253997,100000
10,1 server(s),133.20595540028785,100000
11,1 server(s),125.42836528444982,100000
12,1 server(s),128.78269328101544,100000
13,1 server(s),116.12277350063857,100000
14,1 server(s),140.02707523404302,100000
15,1 server(s),129.62910990828186,100000
16,1 server(s),166.12161090284295,100000
17,1 server(s),138.73019649573715,100000
18,1 server(s),138.2492271376467,100000
19,1 server(s),141.78056790077986,100000
20,1 server(s),152.68103703475728,100000
21,1 server(s),157.7027733270937,100000
22,1 server(s),148.3688657123775,100000
23,1 server(s),120.63098735179928,100000
24,1 server(s),137.5373390334615,100000
25,1 server(s),143.47460040140555,100000
26,1 server(s),153.86860159381143,100000
27,1 server(s),143.64410005105145,100000
28,1 server(s),150.32186084180503,100000
29,1 server(s),158.04780427606798,100000
30,1 server(s),152.08989113141385,100000
31,1 server(s),140.70345108046845,100000
32,1 server(s),165.45579797481733,100000
33,1 server(s),162.2953713861853,100000
34,1 server(s),134.87637295817748,100000
35,1 server(s),137.97192694552604,100000
36,1 server(s),134.26956221468907,100000
37,1 server(s),144.68567746133306,100000
38,1 server(s),113.80524647947693,100000
39,1 server(s),148.88000613646372,100000
40,1 server(s),135.23987081435797,100000
41,1 server(s),117.63927553927304,100000
42,1 server(s),138.2953737084217,100000
43,1 server(s),122.20772028895969,100000
44,1 server(s),142.24357891235832,100000
45,1 server(s),153.68050159795095,100000
46,1 server(s),116.692217629921,100000
47,1 server(s),136.3230399156204,100000
48,1 server(s),139.36988484021583,100000
49,1 server(s),130.4704255157722,100000
50,1 server(s),140.01044275395026,100000
51,1 server(s),124.63958065802835,100000
52,1 server(s),143.712027514768,100000
53,1 server(s),145.15810144003942,100000
54,1 server(s),126.5462098161048,100000
55,1 server(s),144.73697118303824,100000
56,1 server(s),122.6894147185454,100000
57,1 server(s),137.18948124577028,100000
58,1 server(s),131.10839409898458,100000
59,1 server(s),124.08819069030568,100000
60,1 server(s),141.47319804926832,100000
61,1 server(s),123.61259473624662,100000
62,1 server(s),137.2101718333197,100000
63,1 server(s),128.4268183017373,100000
64,1 server(s),123.49328900860489,100000
65,1 server(s),136.86153367257253,100000
66,1 server(s),164.83356433824,100000
67,1 server(s),148.94355809633265,100000
68,1 server(s),131.04799465236448,100000
69,1 server(s),145.55986094253768,100000
70,1 server(s),142.63182375505062,100000
71,1 server(s),121.58789203272475,100000
72,1 server(s),152.28264454021533,100000
73,1 server(s),137.08535917754025,100000
74,1 server(s),136.7477524610187,100000
75,1 server(s),140.41447000755136,100000
76,1 server(s),160.5865230333308,100000
77,1 server(s),145.61709237436168,100000
78,1 server(s),137.91090522160724,100000
79,1 server(s),122.58012600833634,100000
80,1 server(s),123.75561637665018,100000
81,1 server(s),136.3484939798951,100000
82,1 server(s),153.52535035973779,100000
83,1 server(s),138.7575803896503,100000
84,1 server(s),132.7821996923196,100000
85,1 server(s),137.57772363285065,100000
86,1 server(s),137.9721834443073,100000
87,1 server(s),153.40662122149882,100000
88,1 server(s),162.74788546569985,100000
89,1 server(s),117.92335779737121,100000
90,1 server(s),128.25332769795025,100000
91,1 server(s),144.76426233203145,100000
92,1 server(s),169.3755586728675,100000
93,1 server(s),140.25294297201418,100000
94,1 server(s),138.1716448203083,100000
95,1 server(s),150.62792789860046,100000
