,Servers,Values,Amount of customers
0,FIFO,85.66402356829634,100000
1,FIFO,86.64810661772418,100000
2,FIFO,74.33635886637917,100000
3,FIFO,82.44771372417118,100000
4,FIFO,74.40311001221528,100000
5,FIFO,91.94604096501932,100000
6,FIFO,77.04264409968454,100000
7,FIFO,85.15456102827636,100000
8,FIFO,82.9521104129722,100000
9,FIFO,78.83375943042554,100000
10,FIFO,77.46732900997291,100000
11,FIFO,84.04508674848309,100000
12,FIFO,94.32703064981742,100000
13,FIFO,74.66570265328286,100000
14,FIFO,71.56490217611099,100000
15,FIFO,77.33996921764471,100000
16,FIFO,77.19734044833058,100000
17,FIFO,76.11286832836963,100000
18,FIFO,80.38386296992488,100000
19,FIFO,74.09719126947367,100000
20,FIFO,82.5976231494939,100000
21,FIFO,83.76287977948073,100000
22,FIFO,87.71034957002422,100000
23,FIFO,80.78374123603267,100000
24,FIFO,81.38875190512668,100000
25,FIFO,79.84094486785692,100000
26,FIFO,84.65833788631112,100000
27,FIFO,77.16706094878057,100000
28,FIFO,81.99655626228251,100000
29,FIFO,83.69340116426672,100000
30,FIFO,72.01916716753198,100000
31,FIFO,78.10104921879356,100000
32,FIFO,83.58405169953184,100000
33,FIFO,74.84758592237,100000
34,FIFO,76.58874244056874,100000
35,FIFO,81.98405977495483,100000
36,FIFO,83.52571979866994,100000
37,FIFO,75.83441098134841,100000
38,FIFO,90.22862948171772,100000
39,FIFO,84.86803688246316,100000
40,FIFO,73.13978559326108,100000
41,FIFO,79.71027895449596,100000
42,FIFO,77.49186978824474,100000
43,FIFO,77.65110407914521,100000
44,FIFO,77.33461799751261,100000
45,FIFO,92.92629116744797,100000
46,FIFO,86.887373805054,100000
47,FIFO,85.69089731008768,100000
48,FIFO,85.57718097382532,100000
49,FIFO,77.7779133208579,100000
50,FIFO,83.62651976630205,100000
51,FIFO,86.7469090564887,100000
52,FIFO,83.49782766463404,100000
53,FIFO,73.36398811386985,100000
54,FIFO,77.32361019538507,100000
55,FIFO,81.21129237273135,100000
56,FIFO,82.13147661714981,100000
57,FIFO,79.49185627219526,100000
58,FIFO,75.68852192281268,100000
59,FIFO,75.79193197733935,100000
60,FIFO,81.55385910060988,100000
61,FIFO,72.92066032834926,100000
62,FIFO,81.52470270925392,100000
63,FIFO,76.44254579220602,100000
64,FIFO,75.76531153620358,100000
65,FIFO,82.2558259354967,100000
66,FIFO,83.27828186827037,100000
67,FIFO,83.01285671414412,100000
68,FIFO,81.65310992387133,100000
69,FIFO,77.53466803462693,100000
70,FIFO,79.5694188973432,100000
71,FIFO,86.49917875286602,100000
72,FIFO,71.90214303256974,100000
73,FIFO,88.12880932780512,100000
74,FIFO,80.3385948013393,100000
75,FIFO,78.3294472448176,100000
76,FIFO,74.81969332674795,100000
77,FIFO,85.21786413632756,100000
78,FIFO,79.86179765836258,100000
79,FIFO,81.17076106294878,100000
80,FIFO,83.00030305763927,100000
81,FIFO,84.29898951745923,100000
82,FIFO,81.396518485131,100000
83,FIFO,79.60824593417188,100000
84,FIFO,83.56800215085205,100000
85,FIFO,81.06920797343923,100000
86,FIFO,87.51358251153384,100000
87,FIFO,75.00948687168413,100000
88,FIFO,79.70488465556225,100000
89,FIFO,87.57425800179804,100000
90,FIFO,76.01800005677697,100000
91,FIFO,90.703404526076,100000
92,FIFO,77.72386373825006,100000
93,FIFO,73.14910351720366,100000
94,FIFO,75.48061293991182,100000
95,FIFO,89.30904120730173,100000
96,FIFO,84.17920102406623,100000
97,FIFO,78.63532432718154,100000
98,FIFO,73.3571793100193,100000
99,FIFO,74.85251678786044,100000
100,FIFO,80.5771885100528,100000
101,FIFO,76.40580372678973,100000
102,FIFO,81.03465742726631,100000
103,FIFO,76.1421176983784,100000
104,FIFO,81.87733898479034,100000
105,FIFO,84.01297994436152,100000
106,FIFO,74.52886220834515,100000
107,FIFO,77.79227406204814,100000
108,FIFO,80.15224992031901,100000
