,Rho,Values
0, Value: 0.25,0.34
1, Value: 0.25,0.38
2, Value: 0.25,0.34
3, Value: 0.25,0.33
4, Value: 0.25,0.32
5, Value: 0.25,0.35
6, Value: 0.25,0.34
7, Value: 0.25,0.31
8, Value: 0.25,0.38
9, Value: 0.25,0.35
10, Value: 0.25,0.33
11, Value: 0.25,0.34
12, Value: 0.25,0.33
13, Value: 0.25,0.32
14, Value: 0.25,0.31
15, Value: 0.25,0.32
16, Value: 0.25,0.31
17, Value: 0.25,0.29
18, Value: 0.25,0.27
19, Value: 0.25,0.33
20, Value: 0.25,0.37
21, Value: 0.25,0.29
22, Value: 0.25,0.32
23, Value: 0.25,0.29
24, Value: 0.25,0.38
25, Value: 0.25,0.32
26, Value: 0.25,0.29
27, Value: 0.25,0.37
28, Value: 0.25,0.32
29, Value: 0.25,0.38
30, Value: 0.25,0.29
31, Value: 0.25,0.31
32, Value: 0.25,0.38
33, Value: 0.25,0.35
34, Value: 0.25,0.34
35, Value: 0.25,0.29
36, Value: 0.25,0.39
37, Value: 0.25,0.3
38, Value: 0.25,0.3
39, Value: 0.25,0.33
40, Value: 0.25,0.35
41, Value: 0.25,0.36
42, Value: 0.25,0.36
43, Value: 0.25,0.34
44, Value: 0.25,0.28
45, Value: 0.25,0.33
46, Value: 0.25,0.34
47, Value: 0.25,0.33
48, Value: 0.25,0.4
49, Value: 0.25,0.34
50, Value: 0.25,0.3
51, Value: 0.25,0.26
52, Value: 0.25,0.36
53, Value: 0.25,0.3
54, Value: 0.25,0.33
55, Value: 0.25,0.31
56, Value: 0.25,0.29
57, Value: 0.25,0.3
58, Value: 0.25,0.3
59, Value: 0.25,0.32
60, Value: 0.25,0.36
61, Value: 0.25,0.29
62, Value: 0.25,0.29
63, Value: 0.25,0.38
64, Value: 0.25,0.32
65, Value: 0.25,0.29
66, Value: 0.25,0.37
67, Value: 0.25,0.32
68, Value: 0.25,0.38
69, Value: 0.25,0.29
70, Value: 0.25,0.31
71, Value: 0.25,0.38
72, Value: 0.25,0.35
73, Value: 0.25,0.34
74, Value: 0.25,0.29
75, Value: 0.25,0.39
76, Value: 0.25,0.3
77, Value: 0.25,0.3
78, Value: 0.25,0.33
79, Value: 0.25,0.35
80, Value: 0.25,0.36
81, Value: 0.25,0.36
82, Value: 0.25,0.34
83, Value: 0.25,0.28
84, Value: 0.25,0.33
85, Value: 0.25,0.34
86, Value: 0.25,0.33
87, Value: 0.25,0.4
88, Value: 0.25,0.34
89, Value: 0.25,0.3
90, Value: 0.25,0.26
91, Value: 0.25,0.36
92, Value: 0.25,0.3
93, Value: 0.25,0.33
94, Value: 0.25,0.31
95, Value: 0.25,0.29
96, Value: 0.25,0.3
97, Value: 0.25,0.3
98, Value: 0.25,0.32
99, Value: 0.25,0.36
100, Value: 0.25,0.29
101, Value: 0.25,0.29
102, Value: 0.25,0.38
103, Value: 0.25,0.32
104, Value: 0.25,0.29
105, Value: 0.25,0.37
106, Value: 0.25,0.32
107, Value: 0.25,0.38
108, Value: 0.25,0.29
109, Value: 0.25,0.31
110, Value: 0.25,0.38
111, Value: 0.25,0.35
112, Value: 0.25,0.34
113, Value: 0.25,0.29
114, Value: 0.25,0.39
115, Value: 0.25,0.3
116, Value: 0.25,0.3
117, Value: 0.25,0.33
118, Value: 0.25,0.35
119, Value: 0.25,0.36
120, Value: 0.25,0.36
121, Value: 0.25,0.34
122, Value: 0.25,0.28
123, Value: 0.25,0.33
124, Value: 0.25,0.34
125, Value: 0.25,0.33
126, Value: 0.25,0.4
127, Value: 0.25,0.34
128, Value: 0.25,0.3
129, Value: 0.25,0.26
130, Value: 0.25,0.36
131, Value: 0.25,0.3
132, Value: 0.25,0.33
133, Value: 0.25,0.31
134, Value: 0.25,0.29
135, Value: 0.25,0.3
136, Value: 0.25,0.3
137, Value: 0.25,0.32
138, Value: 0.25,0.36
139, Value: 0.25,0.29
140, Value: 0.25,0.29
141, Value: 0.25,0.38
142, Value: 0.25,0.32
143, Value: 0.25,0.29
144, Value: 0.25,0.37
145, Value: 0.25,0.32
146, Value: 0.25,0.38
147, Value: 0.25,0.29
148, Value: 0.25,0.31
149, Value: 0.25,0.38
150, Value: 0.25,0.35
151, Value: 0.25,0.34
152, Value: 0.25,0.29
153, Value: 0.25,0.39
154, Value: 0.25,0.3
155, Value: 0.25,0.3
156, Value: 0.25,0.33
157, Value: 0.25,0.35
158, Value: 0.25,0.36
159, Value: 0.25,0.36
160, Value: 0.25,0.34
161, Value: 0.25,0.28
162, Value: 0.25,0.33
163, Value: 0.25,0.34
164, Value: 0.25,0.33
165, Value: 0.25,0.4
166, Value: 0.25,0.34
167, Value: 0.25,0.3
168, Value: 0.25,0.26
169, Value: 0.25,0.36
170, Value: 0.25,0.3
171, Value: 0.25,0.33
172, Value: 0.25,0.31
173, Value: 0.25,0.29
174, Value: 0.25,0.3
175, Value: 0.25,0.3
176, Value: 0.25,0.32
177, Value: 0.25,0.36
178, Value: 0.25,0.29
179, Value: 0.25,0.29
180, Value: 0.25,0.38
181, Value: 0.25,0.32
182, Value: 0.25,0.29
183, Value: 0.25,0.37
184, Value: 0.25,0.32
185, Value: 0.25,0.38
186, Value: 0.25,0.29
187, Value: 0.25,0.31
188, Value: 0.25,0.38
189, Value: 0.25,0.35
190, Value: 0.25,0.34
191, Value: 0.25,0.29
192, Value: 0.25,0.39
193, Value: 0.25,0.3
194, Value: 0.25,0.3
195, Value: 0.25,0.33
196, Value: 0.25,0.35
197, Value: 0.25,0.36
198, Value: 0.25,0.36
199, Value: 0.25,0.34
200, Value: 0.25,0.28
201, Value: 0.25,0.33
202, Value: 0.25,0.34
203, Value: 0.25,0.33
204, Value: 0.25,0.4
205, Value: 0.25,0.34
206, Value: 0.25,0.3
207, Value: 0.25,0.26
208, Value: 0.25,0.36
209, Value: 0.25,0.3
210, Value: 0.25,0.33
211, Value: 0.25,0.31
212, Value: 0.25,0.29
213, Value: 0.25,0.3
214, Value: 0.25,0.3
215, Value: 0.25,0.32
216, Value: 0.25,0.36
217, Value: 0.25,0.29
218, Value: 0.25,0.29
219, Value: 0.25,0.38
220, Value: 0.25,0.32
221, Value: 0.25,0.29
222, Value: 0.25,0.37
223, Value: 0.25,0.32
224, Value: 0.25,0.38
225, Value: 0.25,0.29
226, Value: 0.25,0.31
227, Value: 0.25,0.38
228, Value: 0.25,0.35
229, Value: 0.25,0.34
230, Value: 0.25,0.29
231, Value: 0.25,0.39
232, Value: 0.25,0.3
233, Value: 0.25,0.3
234, Value: 0.25,0.33
235, Value: 0.25,0.35
236, Value: 0.25,0.36
237, Value: 0.25,0.36
238, Value: 0.25,0.34
239, Value: 0.25,0.28
240, Value: 0.25,0.33
241, Value: 0.25,0.34
242, Value: 0.25,0.33
243, Value: 0.25,0.4
244, Value: 0.25,0.34
245, Value: 0.25,0.3
246, Value: 0.25,0.26
247, Value: 0.25,0.36
248, Value: 0.25,0.3
249, Value: 0.25,0.33
250, Value: 0.25,0.31
251, Value: 0.25,0.29
252, Value: 0.25,0.3
253, Value: 0.25,0.3
254, Value: 0.25,0.32
255, Value: 0.25,0.36
256, Value: 0.25,0.29
257, Value: 0.25,0.29
258, Value: 0.25,0.38
259, Value: 0.25,0.32
260, Value: 0.25,0.29
261, Value: 0.25,0.37
262, Value: 0.25,0.32
263, Value: 0.25,0.38
264, Value: 0.25,0.29
265, Value: 0.25,0.31
266, Value: 0.25,0.38
267, Value: 0.25,0.35
268, Value: 0.25,0.34
269, Value: 0.25,0.29
270, Value: 0.25,0.39
271, Value: 0.25,0.3
272, Value: 0.25,0.3
273, Value: 0.25,0.33
274, Value: 0.25,0.35
275, Value: 0.25,0.36
276, Value: 0.25,0.36
277, Value: 0.25,0.34
278, Value: 0.25,0.28
279, Value: 0.25,0.33
280, Value: 0.25,0.34
281, Value: 0.25,0.33
282, Value: 0.25,0.4
283, Value: 0.25,0.34
284, Value: 0.25,0.3
285, Value: 0.25,0.26
286, Value: 0.25,0.36
287, Value: 0.25,0.3
288, Value: 0.25,0.33
289, Value: 0.25,0.31
290, Value: 0.25,0.29
291, Value: 0.25,0.3
292, Value: 0.25,0.3
293, Value: 0.25,0.32
294, Value: 0.25,0.36
295, Value: 0.25,0.29
296, Value: 0.25,0.29
297, Value: 0.25,0.38
298, Value: 0.25,0.32
299, Value: 0.25,0.29
300, Value: 0.25,0.37
301, Value: 0.25,0.32
302, Value: 0.25,0.38
303, Value: 0.25,0.29
304, Value: 0.25,0.31
305, Value: 0.25,0.38
306, Value: 0.25,0.35
307, Value: 0.25,0.34
308, Value: 0.25,0.29
309, Value: 0.25,0.39
310, Value: 0.25,0.3
311, Value: 0.25,0.3
