,Customers,Values
0,10 customer(s),0.05
1,10 customer(s),0.08
2,10 customer(s),0.05
3,10 customer(s),0.05
4,10 customer(s),0.06
5,10 customer(s),0.07
6,10 customer(s),0.05
7,10 customer(s),0.05
8,10 customer(s),0.05
9,10 customer(s),0.06
10,10 customer(s),0.06
11,10 customer(s),0.06
12,10 customer(s),0.06
13,10 customer(s),0.06
14,10 customer(s),0.06
15,10 customer(s),0.06
16,10 customer(s),0.05
17,10 customer(s),0.06
18,10 customer(s),0.05
19,10 customer(s),0.06
20,10 customer(s),0.05
21,10 customer(s),0.05
22,10 customer(s),0.04
23,10 customer(s),0.07
24,10 customer(s),0.05
25,10 customer(s),0.05
26,10 customer(s),0.05
27,10 customer(s),0.06
28,10 customer(s),0.06
29,10 customer(s),0.05
30,10 customer(s),0.06
31,10 customer(s),0.06
32,10 customer(s),0.07
33,10 customer(s),0.04
34,10 customer(s),0.05
35,10 customer(s),0.06
36,10 customer(s),0.06
37,10 customer(s),0.05
38,10 customer(s),0.05
39,10 customer(s),0.06
40,10 customer(s),0.04
41,10 customer(s),0.05
42,10 customer(s),0.06
43,10 customer(s),0.05
44,10 customer(s),0.05
45,10 customer(s),0.05
46,10 customer(s),0.06
47,10 customer(s),0.07
48,10 customer(s),0.06
49,10 customer(s),0.06
50,10 customer(s),0.06
51,10 customer(s),0.07
52,10 customer(s),0.05
53,10 customer(s),0.06
54,10 customer(s),0.04
55,10 customer(s),0.05
56,10 customer(s),0.07
57,10 customer(s),0.07
58,10 customer(s),0.07
59,10 customer(s),0.06
60,10 customer(s),0.06
61,10 customer(s),0.06
62,10 customer(s),0.06
63,10 customer(s),0.06
64,10 customer(s),0.06
65,10 customer(s),0.06
66,10 customer(s),0.05
67,10 customer(s),0.06
68,10 customer(s),0.05
69,10 customer(s),0.06
70,10 customer(s),0.05
71,10 customer(s),0.05
72,10 customer(s),0.04
73,10 customer(s),0.07
74,10 customer(s),0.05
75,10 customer(s),0.05
76,10 customer(s),0.05
77,10 customer(s),0.06
78,10 customer(s),0.06
79,10 customer(s),0.05
80,10 customer(s),0.06
81,10 customer(s),0.06
82,10 customer(s),0.07
83,10 customer(s),0.04
84,10 customer(s),0.05
85,10 customer(s),0.06
86,10 customer(s),0.06
87,10 customer(s),0.05
88,10 customer(s),0.05
89,10 customer(s),0.06
90,10 customer(s),0.04
91,10 customer(s),0.05
92,10 customer(s),0.06
93,10 customer(s),0.05
94,10 customer(s),0.05
95,10 customer(s),0.05
96,10 customer(s),0.06
97,10 customer(s),0.07
98,10 customer(s),0.06
99,10 customer(s),0.06
100,10 customer(s),0.06
101,10 customer(s),0.07
102,10 customer(s),0.05
103,10 customer(s),0.06
104,10 customer(s),0.04
105,10 customer(s),0.05
106,10 customer(s),0.07
107,10 customer(s),0.07
108,10 customer(s),0.07
109,10 customer(s),0.06
110,10 customer(s),0.06
111,10 customer(s),0.06
112,10 customer(s),0.06
113,10 customer(s),0.06
114,10 customer(s),0.06
115,10 customer(s),0.06
116,10 customer(s),0.05
117,10 customer(s),0.06
118,10 customer(s),0.05
119,10 customer(s),0.06
120,10 customer(s),0.05
121,10 customer(s),0.05
122,10 customer(s),0.04
123,10 customer(s),0.07
124,10 customer(s),0.05
125,10 customer(s),0.05
126,10 customer(s),0.05
127,10 customer(s),0.06
128,10 customer(s),0.06
129,10 customer(s),0.05
130,10 customer(s),0.06
131,10 customer(s),0.06
132,10 customer(s),0.07
133,10 customer(s),0.04
134,10 customer(s),0.05
135,10 customer(s),0.06
136,10 customer(s),0.06
137,10 customer(s),0.05
138,10 customer(s),0.05
139,10 customer(s),0.06
140,10 customer(s),0.04
141,10 customer(s),0.05
142,10 customer(s),0.06
143,10 customer(s),0.05
144,10 customer(s),0.05
145,10 customer(s),0.05
146,10 customer(s),0.06
147,10 customer(s),0.07
148,10 customer(s),0.06
149,10 customer(s),0.06
150,10 customer(s),0.06
151,10 customer(s),0.07
152,10 customer(s),0.05
153,10 customer(s),0.06
154,10 customer(s),0.04
155,10 customer(s),0.05
156,10 customer(s),0.07
157,10 customer(s),0.07
158,10 customer(s),0.07
159,10 customer(s),0.06
160,10 customer(s),0.06
161,10 customer(s),0.06
162,10 customer(s),0.06
163,10 customer(s),0.06
164,10 customer(s),0.06
165,10 customer(s),0.06
166,10 customer(s),0.05
167,10 customer(s),0.06
168,10 customer(s),0.05
169,10 customer(s),0.06
170,10 customer(s),0.05
171,10 customer(s),0.05
172,10 customer(s),0.04
173,10 customer(s),0.07
174,10 customer(s),0.05
175,10 customer(s),0.05
176,10 customer(s),0.05
177,10 customer(s),0.06
178,10 customer(s),0.06
179,10 customer(s),0.05
180,10 customer(s),0.06
181,10 customer(s),0.06
182,10 customer(s),0.07
183,10 customer(s),0.04
184,10 customer(s),0.05
185,10 customer(s),0.06
186,10 customer(s),0.06
187,10 customer(s),0.05
188,10 customer(s),0.05
189,10 customer(s),0.06
190,10 customer(s),0.04
191,10 customer(s),0.05
192,10 customer(s),0.06
193,10 customer(s),0.05
194,10 customer(s),0.05
195,10 customer(s),0.05
196,10 customer(s),0.06
197,10 customer(s),0.07
198,10 customer(s),0.06
199,10 customer(s),0.06
200,10 customer(s),0.06
201,10 customer(s),0.07
202,10 customer(s),0.05
203,10 customer(s),0.06
204,10 customer(s),0.04
205,10 customer(s),0.05
206,10 customer(s),0.07
207,10 customer(s),0.07
208,10 customer(s),0.07
209,10 customer(s),0.06
210,10 customer(s),0.06
