,Cooling_schedule,Markov,Cost,Percentage,Routes,Init routes
0,Linear,10,119.94502617667388,70,"[2, 1, 0, 4, 3]","[2, 1, 0, 4, 3]"
1,Linear,10,114.11962366526603,70,"[1, 2, 0, 4, 3]","[1, 2, 0, 4, 3]"
2,Linear,10,119.94502617667388,70,"[3, 4, 0, 1, 2]","[3, 4, 0, 1, 2]"
3,Linear,10,119.94502617667388,70,"[2, 1, 0, 4, 3]","[2, 1, 0, 4, 3]"
4,Linear,10,114.11962366526603,70,"[1, 2, 0, 4, 3]","[1, 2, 0, 4, 3]"
5,Linear,10,106.9907544830948,70,"[0, 2, 1, 4, 3]","[0, 2, 1, 4, 3]"
6,Linear,10,106.9907544830948,70,"[0, 2, 1, 4, 3]","[0, 2, 1, 4, 3]"
7,Linear,10,119.94502617667388,70,"[2, 1, 0, 4, 3]","[2, 1, 0, 4, 3]"
8,Linear,10,114.11962366526603,70,"[1, 2, 0, 4, 3]","[1, 2, 0, 4, 3]"
9,Linear,10,114.11962366526603,80,"[1, 2, 0, 4, 3]","[1, 2, 0, 4, 3]"
10,Linear,10,114.11962366526603,80,"[1, 2, 0, 4, 3]","[1, 2, 0, 4, 3]"
11,Linear,10,106.9907544830948,80,"[0, 2, 1, 4, 3]","[0, 2, 1, 4, 3]"
12,Linear,10,119.94502617667388,80,"[2, 1, 0, 4, 3]","[2, 1, 0, 4, 3]"
13,Linear,10,119.94502617667388,80,"[3, 4, 0, 1, 2]","[3, 4, 0, 1, 2]"
14,Linear,10,114.11962366526603,80,"[1, 2, 0, 4, 3]","[1, 2, 0, 4, 3]"
15,Linear,10,114.11962366526603,80,"[1, 2, 0, 4, 3]","[1, 2, 0, 4, 3]"
16,Linear,10,114.11962366526603,80,"[1, 2, 0, 4, 3]","[1, 2, 0, 4, 3]"
17,Linear,10,106.9907544830948,80,"[0, 2, 1, 4, 3]","[0, 2, 1, 4, 3]"
18,Linear,10,119.94502617667388,90,"[2, 1, 0, 4, 3]","[2, 1, 0, 4, 3]"
19,Linear,10,119.94502617667388,90,"[3, 4, 0, 1, 2]","[3, 4, 0, 1, 2]"
20,Linear,10,114.11962366526603,90,"[1, 2, 0, 4, 3]","[1, 2, 0, 4, 3]"
21,Linear,10,115.1824153606605,90,"[4, 3, 0, 1, 2]","[4, 3, 0, 1, 2]"
22,Linear,10,119.94502617667388,90,"[3, 4, 0, 1, 2]","[3, 4, 0, 1, 2]"
23,Linear,10,119.94502617667388,90,"[3, 4, 0, 1, 2]","[3, 4, 0, 1, 2]"
24,Linear,10,119.94502617667388,90,"[2, 1, 0, 4, 3]","[2, 1, 0, 4, 3]"
25,Linear,10,106.9907544830948,90,"[0, 2, 1, 4, 3]","[0, 2, 1, 4, 3]"
26,Linear,10,119.94502617667388,90,"[2, 1, 0, 4, 3]","[2, 1, 0, 4, 3]"
27,Linear,20,106.9907544830948,70,"[0, 2, 1, 4, 3]","[0, 2, 1, 4, 3]"
28,Linear,20,119.94502617667388,70,"[2, 1, 0, 4, 3]","[2, 1, 0, 4, 3]"
29,Linear,20,114.11962366526603,70,"[1, 2, 0, 4, 3]","[1, 2, 0, 4, 3]"
30,Linear,20,114.11962366526603,70,"[1, 2, 0, 4, 3]","[1, 2, 0, 4, 3]"
31,Linear,20,115.1824153606605,70,"[4, 3, 0, 1, 2]","[4, 3, 0, 1, 2]"
32,Linear,20,119.94502617667388,70,"[3, 4, 0, 1, 2]","[3, 4, 0, 1, 2]"
33,Linear,20,119.94502617667388,70,"[3, 4, 0, 1, 2]","[3, 4, 0, 1, 2]"
34,Linear,20,114.11962366526603,70,"[1, 2, 0, 4, 3]","[1, 2, 0, 4, 3]"
35,Linear,20,119.94502617667388,70,"[3, 4, 0, 1, 2]","[3, 4, 0, 1, 2]"
36,Linear,20,106.9907544830948,80,"[0, 2, 1, 4, 3]","[0, 2, 1, 4, 3]"
37,Linear,20,106.9907544830948,80,"[0, 2, 1, 4, 3]","[0, 2, 1, 4, 3]"
38,Linear,20,119.94502617667388,80,"[2, 1, 0, 4, 3]","[2, 1, 0, 4, 3]"
39,Linear,20,119.94502617667388,80,"[3, 4, 0, 1, 2]","[3, 4, 0, 1, 2]"
40,Linear,20,106.9907544830948,80,"[0, 2, 1, 4, 3]","[0, 2, 1, 4, 3]"
41,Linear,20,119.94502617667388,80,"[2, 1, 0, 4, 3]","[2, 1, 0, 4, 3]"
42,Linear,20,115.1824153606605,80,"[4, 3, 0, 1, 2]","[4, 3, 0, 1, 2]"
43,Linear,20,115.1824153606605,80,"[4, 3, 0, 1, 2]","[4, 3, 0, 1, 2]"
44,Linear,20,106.9907544830948,80,"[0, 2, 1, 4, 3]","[0, 2, 1, 4, 3]"
45,Linear,20,119.94502617667388,90,"[3, 4, 0, 1, 2]","[3, 4, 0, 1, 2]"
46,Linear,20,119.94502617667388,90,"[2, 1, 0, 4, 3]","[2, 1, 0, 4, 3]"
47,Linear,20,119.94502617667388,90,"[3, 4, 0, 1, 2]","[3, 4, 0, 1, 2]"
48,Linear,20,115.1824153606605,90,"[4, 3, 0, 1, 2]","[4, 3, 0, 1, 2]"
49,Linear,20,106.9907544830948,90,"[0, 2, 1, 4, 3]","[0, 2, 1, 4, 3]"
50,Linear,20,114.11962366526603,90,"[1, 2, 0, 4, 3]","[1, 2, 0, 4, 3]"
51,Linear,20,106.9907544830948,90,"[0, 2, 1, 4, 3]","[0, 2, 1, 4, 3]"
52,Linear,20,106.9907544830948,90,"[0, 2, 1, 4, 3]","[0, 2, 1, 4, 3]"
53,Linear,20,114.11962366526603,90,"[1, 2, 0, 4, 3]","[1, 2, 0, 4, 3]"
